DATE,Island,Total_TP,PS,T2M,WS50M
2015-03-01,NI,5260840.9498,100.11285714285714,19.09142857142857,5.437142857142858
2015-03-02,NI,3153725.9124,99.97857142857143,18.867142857142856,7.0685714285714285
2015-03-03,NI,2681720.9177,99.84857142857142,19.025714285714287,5.390000000000001
2015-03-04,NI,2780584.7158,99.50428571428571,18.62142857142857,4.62
2015-03-05,NI,2077977.2157,99.06142857142856,19.68285714285714,4.901428571428572
2015-03-06,NI,5576526.6483,98.25999999999999,18.46142857142857,10.775714285714287
2015-03-07,NI,7698222.279999999,98.07285714285715,17.352857142857143,11.290000000000001
2015-03-08,NI,5740904.136,98.69571428571429,16.595714285714287,8.317142857142857
2015-03-09,NI,1475324.0296999998,99.67285714285715,16.658571428571427,4.51
2015-03-10,NI,1703588.7175,99.9057142857143,17.65285714285714,4.041428571428571
2015-03-11,NI,3012596.1552999998,100.10428571428572,17.054285714285715,4.337142857142857
2015-03-12,NI,1893592.632,99.92857142857143,16.94857142857143,4.035714285714286
2015-03-13,NI,1793616.7301,99.67428571428572,17.75714285714286,4.958571428571429
2015-03-14,NI,2768926.4008,99.91857142857143,17.998571428571427,4.630000000000001
2015-03-15,NI,4595839.390000001,99.12428571428572,18.264285714285712,6.0
2015-03-16,NI,4182717.156,97.97142857142858,16.744285714285713,7.8757142857142854
2015-03-17,NI,6040844.778,98.14428571428572,13.31142857142857,10.995714285714286
2015-03-18,NI,3428249.7689,99.08857142857143,12.375714285714285,8.087142857142856
2015-03-19,NI,3994542.5130000003,100.02285714285713,11.994285714285715,7.311428571428571
2015-03-20,NI,1338483.5746,100.7242857142857,12.459999999999999,4.517142857142857
2015-03-21,NI,2626629.8954,100.63428571428572,14.671428571428573,6.502857142857143
2015-03-22,NI,1559487.6828,100.47857142857143,15.425714285714287,4.542857142857143
2015-03-23,NI,2118990.796,100.31857142857143,15.959999999999999,3.814285714285714
2015-03-24,NI,2082782.7856,100.06428571428572,16.06142857142857,5.967142857142858
2015-03-25,NI,3707517.875,100.16142857142857,16.851428571428574,6.217142857142858
2015-03-26,NI,2454042.6352,100.01142857142857,17.102857142857143,4.917142857142857
2015-03-27,NI,2373615.3062,99.91857142857144,16.47142857142857,3.744285714285714
2015-03-28,NI,1582769.9248,99.65714285714286,17.257142857142856,5.597142857142857
2015-03-29,NI,6212842.3306,99.21428571428571,16.84857142857143,9.151428571428571
2015-03-30,NI,4629219.49,99.51428571428572,16.228571428571428,5.928571428571429
2015-03-31,NI,2540741.7273,100.19714285714285,15.518571428571429,4.371428571428572
2015-04-01,NI,876877.8285,100.87142857142858,15.864285714285714,2.9914285714285715
2015-04-02,NI,6588169.8887,100.83285714285715,16.082857142857144,8.532857142857143
2015-04-03,NI,5064626.8877,100.70857142857143,16.345714285714283,6.442857142857143
2015-04-04,NI,8122892.416,100.06857142857143,16.548571428571428,10.105714285714285
2015-04-05,NI,2182428.6611,100.44142857142857,15.629999999999999,4.427142857142857
2015-04-06,NI,2416639.6692,100.58571428571429,17.00857142857143,6.892857142857143
2015-04-07,NI,6606542.903,100.36,17.77857142857143,9.73857142857143
2015-04-08,NI,4683752.317,100.03142857142858,17.694285714285716,8.257142857142858
2015-04-09,NI,5202900.6997,100.02,15.651428571428571,6.38
2015-04-10,NI,4101823.1293,98.95,16.580000000000002,7.6571428571428575
2015-04-11,NI,3587501.988,99.13,13.562857142857142,5.798571428571429
2015-04-12,NI,8909292.33,98.67142857142858,14.462857142857144,12.272857142857143
2015-04-13,NI,6614622.6435,97.33285714285715,12.065714285714288,10.90857142857143
2015-04-14,NI,2449144.3962,98.48857142857143,8.161428571428571,7.724285714285714
2015-04-15,NI,3635239.1233,99.53857142857143,9.69,8.575714285714286
2015-04-16,NI,2525093.7736,100.31714285714285,10.354285714285714,5.834285714285714
2015-04-17,NI,7847913.98,100.14714285714285,12.65,8.647142857142857
2015-04-18,NI,4182082.5914,100.35428571428572,12.457142857142857,5.677142857142857
2015-04-19,NI,2659645.3033,100.80428571428571,12.894285714285715,5.268571428571429
2015-04-20,NI,4546107.2232,100.9342857142857,14.552857142857144,6.498571428571428
2015-04-21,NI,1247737.4123,101.06714285714285,14.60142857142857,4.288571428571428
2015-04-22,NI,3116035.7919,101.18142857142857,13.968571428571428,4.925714285714286
2015-04-23,NI,4134693.805,101.37,13.4,5.831428571428572
2015-04-24,NI,3038844.6115,101.17714285714285,13.178571428571429,5.291428571428571
2015-04-25,NI,3820810.1331,100.72285714285715,13.12857142857143,6.948571428571428
2015-04-26,NI,6887337.88,99.96428571428571,13.855714285714285,9.45142857142857
2015-04-27,NI,6397772.1055,98.43285714285715,15.877142857142857,13.337142857142856
2015-04-28,NI,6336783.93,98.25857142857144,12.515714285714285,9.162857142857144
2015-04-29,NI,7513983.657,98.53571428571429,12.282857142857143,11.178571428571429
2015-04-30,NI,3787189.399,99.51714285714286,10.15,9.037142857142857
2015-05-01,NI,4185862.3098,100.75,11.522857142857143,5.88
2015-05-02,NI,4371892.267,101.12,12.735714285714286,5.910000000000001
2015-05-03,NI,2230270.4650999997,101.31714285714285,12.095714285714285,4.3342857142857145
2015-05-04,NI,5669380.4194,101.27571428571427,11.314285714285715,6.091428571428572
2015-05-05,NI,7689316.016000001,100.90428571428572,13.582857142857142,7.885714285714285
2015-05-06,NI,7664450.805,100.21285714285715,15.168571428571429,11.547142857142857
2015-05-07,NI,8049170.06,99.32714285714285,16.225714285714286,11.881428571428572
2015-05-08,NI,7046910.3494,98.78571428571429,14.66,8.588571428571429
