DATE,POC_Code,WS50M,Island,Fuel_Code,Latitude,Longitude
2015-01-01,BPE0331,6.72,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-02,BPE0331,6.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-03,BPE0331,4.22,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-04,BPE0331,4.95,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-05,BPE0331,7.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-06,BPE0331,7.75,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-07,BPE0331,6.07,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-08,BPE0331,6.54,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-09,BPE0331,4.2,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-10,BPE0331,5.4,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-11,BPE0331,10.15,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-12,BPE0331,6.97,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-13,BPE0331,2.58,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-14,BPE0331,2.74,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-15,BPE0331,1.64,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-16,BPE0331,6.84,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-17,BPE0331,9.06,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-18,BPE0331,11.18,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-19,BPE0331,10.94,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-20,BPE0331,6.85,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-21,BPE0331,3.71,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-22,BPE0331,5.28,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-23,BPE0331,2.71,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-24,BPE0331,2.88,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-25,BPE0331,5.28,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-26,BPE0331,4.16,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-27,BPE0331,7.23,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-28,BPE0331,7.06,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-29,BPE0331,5.25,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-30,BPE0331,4.78,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-31,BPE0331,4.29,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-01,BPE0331,6.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-02,BPE0331,11.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-03,BPE0331,12.81,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-04,BPE0331,13.88,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-05,BPE0331,14.47,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-06,BPE0331,9.22,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-07,BPE0331,6.76,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-08,BPE0331,8.51,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-09,BPE0331,11.3,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-10,BPE0331,7.68,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-11,BPE0331,6.39,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-12,BPE0331,4.33,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-13,BPE0331,5.42,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-14,BPE0331,9.07,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-15,BPE0331,6.5,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-16,BPE0331,5.3,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-17,BPE0331,2.75,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-18,BPE0331,5.31,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-19,BPE0331,8.27,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-20,BPE0331,2.13,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-21,BPE0331,7.82,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-22,BPE0331,5.46,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-23,BPE0331,4.54,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-24,BPE0331,4.05,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-25,BPE0331,6.07,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-26,BPE0331,5.54,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-27,BPE0331,4.94,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-28,BPE0331,6.4,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-01,BPE0331,5.89,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-02,BPE0331,6.52,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-03,BPE0331,5.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-04,BPE0331,4.19,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-05,BPE0331,3.64,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-06,BPE0331,10.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-07,BPE0331,11.64,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-08,BPE0331,9.5,NI,Wind,-40.280614262851415,175.6405101202204
