DATE,POC_Code,PS,Island,Fuel_Code,Latitude,Longitude
2015-01-01,BPE0331,99.16,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-02,BPE0331,99.64,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-03,BPE0331,99.9,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-04,BPE0331,99.88,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-05,BPE0331,99.59,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-06,BPE0331,99.5,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-07,BPE0331,99.38,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-08,BPE0331,99.79,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-09,BPE0331,99.84,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-10,BPE0331,99.68,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-11,BPE0331,99.14,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-12,BPE0331,98.97,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-13,BPE0331,99.0,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-14,BPE0331,98.85,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-15,BPE0331,98.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-16,BPE0331,98.47,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-17,BPE0331,98.21,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-18,BPE0331,98.16,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-19,BPE0331,98.39,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-20,BPE0331,99.16,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-21,BPE0331,99.66,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-22,BPE0331,99.9,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-23,BPE0331,99.7,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-24,BPE0331,99.75,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-25,BPE0331,99.72,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-26,BPE0331,99.27,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-27,BPE0331,98.91,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-28,BPE0331,98.89,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-29,BPE0331,98.97,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-30,BPE0331,99.03,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-31,BPE0331,99.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-01,BPE0331,98.87,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-02,BPE0331,98.27,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-03,BPE0331,98.03,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-04,BPE0331,98.09,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-05,BPE0331,97.88,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-06,BPE0331,97.89,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-07,BPE0331,99.06,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-08,BPE0331,99.41,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-09,BPE0331,99.31,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-10,BPE0331,100.5,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-11,BPE0331,100.76,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-12,BPE0331,100.29,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-13,BPE0331,99.67,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-14,BPE0331,100.02,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-15,BPE0331,100.24,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-16,BPE0331,100.17,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-17,BPE0331,100.12,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-18,BPE0331,100.08,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-19,BPE0331,99.76,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-20,BPE0331,99.72,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-21,BPE0331,99.67,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-22,BPE0331,99.87,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-23,BPE0331,100.03,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-24,BPE0331,99.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-25,BPE0331,98.97,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-26,BPE0331,99.03,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-27,BPE0331,98.95,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-28,BPE0331,99.29,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-01,BPE0331,99.5,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-02,BPE0331,99.39,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-03,BPE0331,99.24,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-04,BPE0331,98.9,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-05,BPE0331,98.46,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-06,BPE0331,97.69,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-07,BPE0331,97.47,NI,Wind,-40.280614262851415,175.6405101202204
2015-03-08,BPE0331,98.0,NI,Wind,-40.280614262851415,175.6405101202204
