Island,Total_TP,PS,T2M,WD50M,WS50M
NI,751548.7071142857,100.11285714285714,19.09142857142857,302.5,5.437142857142858
NI,450532.2732,99.97857142857143,18.867142857142856,273.0857142857143,7.0685714285714285
NI,383102.98824285716,99.84857142857142,19.025714285714287,274.8857142857143,5.390000000000001
NI,397226.3879714286,99.50428571428571,18.62142857142857,285.0857142857143,4.62
NI,296853.88795714284,99.06142857142856,19.68285714285714,289.57142857142856,4.901428571428572
NI,796646.6640428571,98.25999999999999,18.46142857142857,337.25714285714287,10.775714285714287
NI,1099746.0399999998,98.07285714285715,17.352857142857143,327.5857142857143,11.290000000000001
NI,820129.1622857143,98.69571428571429,16.595714285714287,269.8285714285715,8.317142857142857
NI,210760.57567142855,99.67285714285715,16.658571428571427,216.04285714285714,4.51
NI,243369.8167857143,99.9057142857143,17.65285714285714,218.94285714285712,4.041428571428571
NI,430370.8793285714,100.10428571428572,17.054285714285715,136.47142857142856,4.337142857142857
NI,270513.23314285715,99.92857142857143,16.94857142857143,83.97142857142856,4.035714285714286
NI,256230.96144285714,99.67428571428572,17.75714285714286,283.0,4.958571428571429
NI,395560.9144,99.91857142857143,17.998571428571427,127.07142857142857,4.630000000000001
NI,656548.4842857143,99.12428571428572,18.264285714285712,75.08571428571429,6.0
NI,597531.0222857143,97.97142857142858,16.744285714285713,147.84285714285716,7.8757142857142854
NI,862977.8254285714,98.14428571428572,13.31142857142857,192.9857142857143,10.995714285714286
NI,489749.9669857143,99.08857142857143,12.375714285714285,198.68571428571428,8.087142857142856
NI,570648.9304285714,100.02285714285713,11.994285714285715,178.81428571428572,7.311428571428571
NI,191211.93922857143,100.7242857142857,12.459999999999999,128.6,4.517142857142857
NI,375232.84219999996,100.63428571428572,14.671428571428573,291.7285714285714,6.502857142857143
NI,222783.9546857143,100.47857142857143,15.425714285714287,266.2285714285714,4.542857142857143
NI,302712.9708571429,100.31857142857143,15.959999999999999,91.95714285714287,3.814285714285714
NI,297540.3979428572,100.06428571428572,16.06142857142857,279.4428571428571,5.967142857142858
NI,529645.4107142857,100.16142857142857,16.851428571428574,327.17142857142863,6.217142857142858
NI,350577.5193142857,100.01142857142857,17.102857142857143,329.74285714285713,4.917142857142857
NI,339087.9008857143,99.91857142857144,16.47142857142857,113.55714285714286,3.744285714285714
NI,226109.98925714285,99.65714285714286,17.257142857142856,285.2,5.597142857142857
NI,887548.9043714285,99.21428571428571,16.84857142857143,315.31428571428575,9.151428571428571
NI,661317.0700000001,99.51428571428572,16.228571428571428,256.84285714285716,5.928571428571429
NI,362963.1039,100.19714285714285,15.518571428571429,239.97142857142856,4.371428571428572
NI,125268.26121428571,100.87142857142858,15.864285714285714,165.52857142857144,2.9914285714285715
NI,941167.1269571428,100.83285714285715,16.082857142857144,318.7714285714286,8.532857142857143
