DATE,Island,Total_TP,RH2M,PRECTOTCORR,GWETPROF,EVLAND,T2M
2015-03-01,NI,460341.43764705886,66.25529411764707,0.012352941176470587,0.3347058823529412,1.6376470588235295,19.008235294117647
2015-03-02,NI,704394.0794117646,69.9535294117647,0.010588235294117647,0.33235294117647063,1.56,19.220588235294116
2015-03-03,NI,659342.2735294118,73.09588235294119,0.14941176470588236,0.3311764705882353,0.8888235294117647,18.333529411764708
2015-03-04,NI,690814.5494117647,79.58352941176472,1.1047058823529412,0.33,0.9876470588235293,17.398235294117647
2015-03-05,NI,708263.7888235294,72.79176470588236,0.08,0.32941176470588235,1.4176470588235295,19.171764705882353
2015-03-06,NI,677922.4676470588,84.52470588235295,3.7064705882352946,0.33,1.907058823529412,18.07470588235294
2015-03-07,NI,529038.7635294117,83.2135294117647,5.834117647058824,0.3317647058823529,2.5494117647058823,16.718823529411765
2015-03-08,NI,566006.2670588235,71.91941176470588,1.116470588235294,0.33352941176470585,2.1794117647058826,16.289411764705882
2015-03-09,NI,678002.8147058823,73.33941176470589,0.05647058823529411,0.33294117647058824,1.0576470588235294,16.198235294117648
2015-03-10,NI,661406.6135294117,67.21588235294118,0.009411764705882354,0.33294117647058824,1.3699999999999999,18.081764705882353
2015-03-11,NI,669391.8335294118,77.35117647058824,3.162352941176471,0.3305882352941176,1.2941176470588236,17.618823529411763
2015-03-12,NI,664572.4452941177,88.53705882352942,10.464705882352941,0.3388235294117647,2.374705882352941,16.345294117647057
2015-03-13,NI,592310.091764706,76.67352941176469,0.8752941176470589,0.3470588235294118,2.2123529411764706,17.216470588235296
2015-03-14,NI,484675.7564705882,72.96764705882353,1.3611764705882354,0.34352941176470586,1.8258823529411765,18.642352941176473
2015-03-15,NI,440527.77999999997,79.8664705882353,5.987058823529412,0.34352941176470586,1.8211764705882354,17.181176470588234
2015-03-16,NI,674301.7058823529,82.04294117647059,19.405882352941177,0.37,3.7982352941176467,15.989999999999998
2015-03-17,NI,628202.9470588235,76.78647058823529,1.7152941176470589,0.3723529411764706,2.4441176470588233,13.852352941176472
2015-03-18,NI,638286.3535294117,65.48705882352941,0.16647058823529412,0.37,1.6929411764705884,12.571176470588236
2015-03-19,NI,602267.1952941177,60.67529411764706,0.14529411764705882,0.3694117647058824,1.66,12.737058823529411
2015-03-20,NI,697814.1623529411,62.564705882352946,0.05058823529411765,0.36882352941176466,1.4529411764705882,12.254117647058823
2015-03-21,NI,473933.46529411763,71.7764705882353,1.0576470588235294,0.3641176470588235,1.5711764705882354,13.995882352941177
2015-03-22,NI,473581.02117647056,73.9135294117647,0.9335294117647058,0.3641176470588235,1.4370588235294117,15.037058823529412
2015-03-23,NI,620410.734117647,77.26941176470588,1.416470588235294,0.361764705882353,1.6641176470588235,15.098823529411765
2015-03-24,NI,627533.1876470587,76.80705882352942,0.841764705882353,0.361764705882353,1.633529411764706,15.008823529411766
2015-03-25,NI,640786.96,78.00176470588235,0.17294117647058824,0.3594117647058823,1.3547058823529412,15.99705882352941
2015-03-26,NI,620421.77,81.65058823529411,2.224705882352941,0.35705882352941176,1.387058823529412,16.578235294117647
2015-03-27,NI,644520.6494117647,80.35823529411766,0.8547058823529411,0.35764705882352943,1.6905882352941175,17.181176470588234
2015-03-28,NI,515772.75176470587,86.81764705882354,5.080588235294117,0.3564705882352941,1.9041176470588235,17.140588235294118
2015-03-29,NI,502375.56,83.64529411764705,8.599411764705883,0.36588235294117644,3.0741176470588236,16.58823529411765
2015-03-30,NI,607309.1717647059,78.02176470588235,0.85,0.3652941176470588,1.9594117647058824,15.514705882352942
2015-03-31,NI,646948.0782352941,73.2035294117647,0.10235294117647059,0.3652941176470588,1.6135294117647059,15.03
2015-04-01,NI,668257.2494117647,74.87588235294118,0.03705882352941176,0.3647058823529412,1.3176470588235294,15.302941176470586
2015-04-02,NI,682267.851764706,81.40411764705883,0.75,0.3647058823529412,1.5441176470588236,15.510588235294119
2015-04-03,NI,517939.2694117647,77.5964705882353,0.017058823529411765,0.3623529411764706,1.2258823529411764,15.467058823529412
2015-04-04,NI,510479.8829411765,80.28117647058824,0.28294117647058825,0.36,1.2394117647058824,15.311176470588236
2015-04-05,NI,539346.3841176471,78.03588235294119,0.58,0.3558823529411765,1.3576470588235292,16.421176470588236
2015-04-06,NI,547072.395882353,82.9270588235294,0.6705882352941177,0.3552941176470588,1.3282352941176472,16.42058823529412
2015-04-07,NI,702210.6617647059,78.7464705882353,1.3611764705882354,0.3558823529411765,0.9888235294117647,17.07
2015-04-08,NI,770536.1776470589,88.72941176470589,8.592941176470587,0.3594117647058823,1.1652941176470588,16.769411764705882
2015-04-09,NI,928816.7258823529,94.68117647058823,12.530588235294118,0.3723529411764706,1.403529411764706,17.18764705882353
2015-04-10,NI,1083331.0158823528,93.04529411764706,11.576470588235296,0.3852941176470588,2.0088235294117647,16.730588235294118
2015-04-11,NI,931028.6229411764,80.61235294117648,6.78764705882353,0.40058823529411763,2.6041176470588234,14.737058823529411
2015-04-12,NI,784731.3529411765,79.09647058823529,0.6811764705882353,0.39882352941176474,1.4188235294117648,13.341176470588234
2015-04-13,NI,988019.5411764706,88.99235294117646,11.918823529411766,0.4047058823529412,2.3147058823529414,11.41529411764706
2015-04-14,NI,1139977.4947058824,75.70941176470588,4.165882352941176,0.4111764705882353,1.734705882352941,6.764705882352941
2015-04-15,NI,1032244.9523529413,70.78764705882352,0.07176470588235294,0.4105882352941177,1.4447058823529413,8.52
