DATE,POC_Code,RH2M
2015-07-07,ARA2201,97.43
2015-07-08,ARA2201,94.05
2015-07-09,ARA2201,76.03
2015-07-10,ARA2201,85.57
2015-07-11,ARA2201,86.56
2015-07-12,ARA2201,92.26
2015-07-13,ARA2201,83.28
2015-07-14,ARA2201,89.36
2015-07-15,ARA2201,95.59
2015-07-16,ARA2201,92.08
2015-07-17,ARA2201,88.82
2015-07-18,ARA2201,97.28
2015-07-19,ARA2201,75.52
2015-07-20,ARA2201,93.95
2015-07-21,ARA2201,71.26
2015-07-22,ARA2201,78.41
2015-07-23,ARA2201,85.59
2015-07-24,ARA2201,87.86
2015-07-25,ARA2201,88.34
2015-07-26,ARA2201,97.43
2015-07-27,ARA2201,98.75
2015-07-28,ARA2201,92.72
2015-07-29,ARA2201,85.48
2015-07-30,ARA2201,71.15
2015-07-31,ARA2201,95.82
2015-08-01,ARA2201,91.14
2015-08-02,ARA2201,93.41
2015-08-03,ARA2201,90.3
2015-08-04,ARA2201,92.92
2015-08-05,ARA2201,98.01
2015-08-06,ARA2201,93.11
2015-08-07,ARA2201,91.44
2015-08-08,ARA2201,89.48
2015-08-09,ARA2201,91.52
2015-08-10,ARA2201,94.48
2015-08-11,ARA2201,83.02
2015-08-12,ARA2201,84.25
2015-08-13,ARA2201,77.66
2015-08-14,ARA2201,95.76
2015-08-15,ARA2201,98.41
2015-08-16,ARA2201,94.59
2015-08-17,ARA2201,86.7
2015-08-18,ARA2201,90.48
2015-08-19,ARA2201,96.31
2015-08-20,ARA2201,83.7
2015-08-21,ARA2201,77.57
2015-08-22,ARA2201,85.69
2015-08-23,ARA2201,91.66
2015-08-24,ARA2201,89.01
2015-08-25,ARA2201,94.82
2015-08-26,ARA2201,80.78
2015-08-27,ARA2201,73.22
2015-08-28,ARA2201,82.7
2015-08-29,ARA2201,88.13
2015-08-30,ARA2201,97.23
2015-08-31,ARA2201,95.63
2015-09-01,ARA2201,98.23
2015-09-02,ARA2201,96.12
2015-09-03,ARA2201,94.0
2015-09-04,ARA2201,90.96
2015-09-05,ARA2201,81.88
2015-09-06,ARA2201,81.8
2015-09-07,ARA2201,72.55
2015-09-08,ARA2201,81.64
2015-09-09,ARA2201,88.18
2015-09-10,ARA2201,95.42
2015-09-11,ARA2201,75.89
2015-09-12,ARA2201,77.94
2015-09-13,ARA2201,81.38
2015-09-14,ARA2201,78.79
2015-09-15,ARA2201,83.5
2015-09-16,ARA2201,80.89
2015-09-17,ARA2201,89.01
2015-09-18,ARA2201,90.63
2015-09-19,ARA2201,81.35
