Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2009-06-01,8570,9340,9300,8230,7840,7960,7880,7820,7830,7850,8250,8720,13960,14020,15730,16070,21180,21890,21810,21710,22490,24620,28000,28070,22340,27140,28150,29210,31270,31260,30910,30960,31150,31040,31070,31030,31080,31110,31100,30880,31660,31610,31160,30970,21520,17920,12910,9840,,
ARG,ARG1101,TRUS,argyle_wairau,Hydro,Hydro,2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,4143,4122,4109,5349,4161,4143,4144,4144,4146,4138,4132,4128,4125,4123,4115,4109,4101,4676,4983,4165,4128,4134,4135,4137,4137,4131,776,0,0,0,0,0,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2009-06-01,36630,14850,14700,14580,12640,12580,12510,7130,6550,9160,8550,7510,23220,23370,42560,52430,51270,58180,58120,59150,59370,63290,71880,69630,69550,66190,56850,45660,36720,35100,34800,43700,51150,50900,63950,77580,77640,77620,77570,69200,63340,67740,68890,61630,42130,19110,13810,6830,,
HBK,ASB0661,EASH,highbank,Hydro,Hydro,2009-06-01,10261.200000000001,10251,10251,10108.200000000001,9985.7999999999993,9985.7999999999993,10006.200000000001,9975.6000000000004,9985.7999999999993,9996,9996,9996,9975.6000000000004,13413,13474.200000000001,13474.200000000001,13464,13321.200000000001,13300.799999999999,13300.799999999999,9894,9730.7999999999993,9741,9741,9730.7999999999993,9741,9741,9730.7999999999993,9730.7999999999993,9741,9730.7999999999993,9730.7999999999993,9730.7999999999993,9710.3999999999996,13168.200000000001,13209,13209,13209,13209,13219.200000000001,13209,9975.6000000000004,9792,9792,9771.6000000000004,9781.7999999999993,9792,9781.8,,
ATI,ATI2201,MRPL,atiamuri,Hydro,Hydro,2009-06-01,1270,0,0,0,0,0,0,0,0,0,300,2250,3960,9520,13590,23830,24330,28180,26120,26010,28480,28450,26070,16460,15680,12340,8710,7730,7640,6400,6170,6920,9400,20620,27610,28110,28140,26380,22910,23310,25050,24040,22670,18940,6250,2580,670,0,,
AVI,AVI2201,MERI,aviemore,Hydro,Hydro,2009-06-01,44210,43990,43970,40340,38720,39420,38480,40140,32370,24640,26850,26940,43070,48750,48880,48920,71680,73110,73030,68880,67800,67410,66140,67100,68850,65910,65770,65840,66010,65710,65900,65870,69340,70850,73050,73350,71070,70940,70930,73160,75000,73160,72000,70600,66570,48690,48790,45170,,
BEN,BEN0162,MERI,benmore,Hydro,Hydro,2009-06-01,39925,47017,57265,32943,29581,26824,26409,34046,32267,24902,27901,32504,32543,32618,32287,34072,62740,83207,85048,79965,78818,78033,75966,71939,69195,59702,41551,40099,32770,37091,35166,37063,75835,81399,82601,82564,83507,85292,83201,89029,89123,87209,81995,79208,79543,75421,55587,38744,,
BEN,BEN0163,MERI,benmore,Hydro,Hydro,2009-06-01,42995,40569,37894,34182,32672,33271,32699,36420,35993,33423,33481,35745,35820,35767,35845,35173,40545,42250,43768,39971,39085,39055,39480,36837,35272,36721,44139,42221,32986,38943,37320,38633,42015,42152,42333,42755,42305,43603,42215,44172,44190,43570,42271,42229,40019,39908,38070,40331,,
BEN,BEN2202,MERI,benmore,Hydro,Hydro,2009-06-01,42400,39555,37565,33902,31426,30127,29595,35156,35695,32674,29099,35315,35161,35238,35734,34888,39366,42454,43096,40044,39289,39185,38970,36223,34886,35570,42414,40993,33189,37955,36047,37773,40934,41877,41943,42357,42334,43314,42431,44366,44406,43780,42158,41458,40070,38815,37471,39553,,
TWF,BPE0331,POCO,twf_12,Wind,Wind,2009-06-01,1895.2,2653.2800000000002,3108.1199999999999,4700.0900000000001,2945.6799999999998,454.85000000000002,801.39999999999998,1321.22,303.23000000000002,119.13,108.3,64.980000000000004,0,0,10.83,0,0,10.83,75.810000000000002,400.69999999999999,530.65999999999997,1137.1199999999999,693.10000000000002,1451.1800000000001,963.84000000000003,768.90999999999997,389.87,422.36000000000001,281.56999999999999,119.13,97.469999999999999,227.41999999999999,0,0,0,0,0,0,0,10.83,0,151.62,32.490000000000002,32.490000000000002,0,43.32,0,119.13,,
