Fuel_Code,POC_Code,Trading_date,Total_TP
Hydro,ASB0661,2009-11-28,11495.4
Hydro,ASB0661,2009-11-29,16452.6
Hydro,ASB0661,2009-11-30,34516.8
Hydro,ATI2201,2009-11-01,983960.0
Hydro,ATI2201,2009-11-02,901100.0
Hydro,ATI2201,2009-11-03,898400.0
Hydro,ATI2201,2009-11-04,912010.0
Hydro,ATI2201,2009-11-05,912920.0
Hydro,ATI2201,2009-11-06,874200.0
Hydro,ATI2201,2009-11-07,753200.0
Hydro,ATI2201,2009-11-08,845910.0
Hydro,ATI2201,2009-11-09,933080.0
Hydro,ATI2201,2009-11-10,979430.0
Hydro,ATI2201,2009-11-11,956470.0
Hydro,ATI2201,2009-11-12,1077880.0
Hydro,ATI2201,2009-11-13,905030.0
Hydro,ATI2201,2009-11-14,676750.0
Hydro,ATI2201,2009-11-15,608690.0
Hydro,ATI2201,2009-11-16,755690.0
Hydro,ATI2201,2009-11-17,919740.0
Hydro,ATI2201,2009-11-18,1000030.0
Hydro,ATI2201,2009-11-19,920530.0
Hydro,ATI2201,2009-11-20,841880.0
Hydro,ATI2201,2009-11-21,575920.0
Hydro,ATI2201,2009-11-22,895840.0
Hydro,ATI2201,2009-11-23,732100.0
Hydro,ATI2201,2009-11-24,853950.0
Hydro,ATI2201,2009-11-25,609210.0
Hydro,ATI2201,2009-11-26,597420.0
Hydro,ATI2201,2009-11-27,740510.0
Hydro,ATI2201,2009-11-28,816840.0
Hydro,ATI2201,2009-11-29,544710.0
Hydro,ATI2201,2009-11-30,1002190.0
Hydro,AVI2201,2009-11-01,2077310.0
Hydro,AVI2201,2009-11-02,1996660.0
Hydro,AVI2201,2009-11-03,2328800.0
Hydro,AVI2201,2009-11-04,2155140.0
Hydro,AVI2201,2009-11-05,2216810.0
Hydro,AVI2201,2009-11-06,2425370.0
Hydro,AVI2201,2009-11-07,2368350.0
Hydro,AVI2201,2009-11-08,2728520.0
Hydro,AVI2201,2009-11-09,2415720.0
Hydro,AVI2201,2009-11-10,2420450.0
Hydro,AVI2201,2009-11-11,2381030.0
Hydro,AVI2201,2009-11-12,1843170.0
Hydro,AVI2201,2009-11-13,1571520.0
