Fuel_Code,POC_Code,Trading_date,Total_TP
Hydro,ANI0111,2001-10-01,292411.0
Hydro,ANI0111,2001-10-02,287288.0
Hydro,ANI0111,2001-10-03,290988.0
Hydro,ANI0111,2001-10-04,286807.0
Hydro,ANI0111,2001-10-05,297307.0
Hydro,ANI0111,2001-10-06,299276.0
Hydro,ANI0111,2001-10-07,308308.0
Hydro,ANI0111,2001-10-08,335553.0
Hydro,ANI0111,2001-10-09,342572.0
Hydro,ANI0111,2001-10-10,470237.0
Hydro,ANI0111,2001-10-11,455705.0
Hydro,ANI0111,2001-10-12,379906.0
Hydro,ANI0111,2001-10-13,362685.0
Hydro,ANI0111,2001-10-14,344040.0
Hydro,ANI0111,2001-10-15,333455.0
Hydro,ANI0111,2001-10-16,357506.0
Hydro,ANI0111,2001-10-17,351539.0
Hydro,ANI0111,2001-10-18,336761.0
Hydro,ANI0111,2001-10-19,325805.0
Hydro,ANI0111,2001-10-20,340112.0
Hydro,ANI0111,2001-10-21,414343.0
Hydro,ANI0111,2001-10-22,362814.0
Hydro,ANI0111,2001-10-23,349610.0
Hydro,ANI0111,2001-10-24,344333.0
Hydro,ANI0111,2001-10-25,337979.0
Hydro,ANI0111,2001-10-26,330202.0
Hydro,ANI0111,2001-10-27,331903.0
Hydro,ANI0111,2001-10-28,352537.0
Hydro,ANI0111,2001-10-29,423281.0
Hydro,ANI0111,2001-10-30,372957.0
Hydro,ANI0111,2001-10-31,367692.0
Hydro,ARA2201,2001-10-01,704880.0
Hydro,ARA2201,2001-10-02,456580.0
Hydro,ARA2201,2001-10-03,842040.0
Hydro,ARA2201,2001-10-04,958820.0
Hydro,ARA2201,2001-10-05,864280.0
Hydro,ARA2201,2001-10-06,642910.0
Hydro,ARA2201,2001-10-07,433550.0
Hydro,ARA2201,2001-10-08,913590.0
Hydro,ARA2201,2001-10-09,1026430.0
Hydro,ARA2201,2001-10-10,841840.0
Hydro,ARA2201,2001-10-11,820950.0
Hydro,ARA2201,2001-10-12,653700.0
Hydro,ARA2201,2001-10-13,608300.0
Hydro,ARA2201,2001-10-14,572150.0
Hydro,ARA2201,2001-10-15,509840.0
Hydro,ARA2201,2001-10-16,477740.0
Hydro,ARA2201,2001-10-17,485780.0
Hydro,ARA2201,2001-10-18,637970.0
Hydro,ARA2201,2001-10-19,539970.0
Hydro,ARA2201,2001-10-20,483320.0
Hydro,ARA2201,2001-10-21,535350.0
Hydro,ARA2201,2001-10-22,309380.0
Hydro,ARA2201,2001-10-23,595980.0
Hydro,ARA2201,2001-10-24,620760.0
Hydro,ARA2201,2001-10-25,545030.0
Hydro,ARA2201,2001-10-26,498630.0
Hydro,ARA2201,2001-10-27,319820.0
Hydro,ARA2201,2001-10-28,477050.0
Hydro,ARA2201,2001-10-29,558340.0
Hydro,ARA2201,2001-10-30,956710.0
Hydro,ARA2201,2001-10-31,950440.0
Hydro,ARG1101,2001-10-01,77609.0
Hydro,ARG1101,2001-10-02,78224.0
Hydro,ARG1101,2001-10-03,121131.0
Hydro,ARG1101,2001-10-04,97869.0
Hydro,ARG1101,2001-10-05,88812.0
Hydro,ARG1101,2001-10-06,137427.0
Hydro,ARG1101,2001-10-07,119226.0
Hydro,ARG1101,2001-10-08,249874.0
Hydro,ARG1101,2001-10-09,157055.0
Hydro,ARG1101,2001-10-10,125898.0
Hydro,ARG1101,2001-10-11,259252.0
Hydro,ARG1101,2001-10-12,258189.0
Hydro,ARG1101,2001-10-13,215586.0
Hydro,ARG1101,2001-10-14,220776.0
Hydro,ARG1101,2001-10-15,174021.0
Hydro,ARG1101,2001-10-16,235601.0
Hydro,ARG1101,2001-10-17,256043.0
