Fuel_Code,POC_Code,Trading_date,Total_TP
Hydro,ANI0111,2007-08-01,448828.0
Hydro,ANI0111,2007-08-02,433678.0
Hydro,ANI0111,2007-08-03,414292.0
Hydro,ANI0111,2007-08-04,423734.0
Hydro,ANI0111,2007-08-05,494620.0
Hydro,ANI0111,2007-08-06,500137.0
Hydro,ANI0111,2007-08-07,490495.0
Hydro,ANI0111,2007-08-08,475891.0
Hydro,ANI0111,2007-08-09,460582.0
Hydro,ANI0111,2007-08-10,445195.0
Hydro,ANI0111,2007-08-11,430230.0
Hydro,ANI0111,2007-08-12,472815.0
Hydro,ANI0111,2007-08-13,481296.0
Hydro,ANI0111,2007-08-14,454572.0
Hydro,ANI0111,2007-08-15,432715.0
Hydro,ANI0111,2007-08-16,421260.0
Hydro,ANI0111,2007-08-17,468278.0
Hydro,ANI0111,2007-08-18,493149.0
Hydro,ANI0111,2007-08-19,488440.0
Hydro,ANI0111,2007-08-20,468474.0
Hydro,ANI0111,2007-08-21,451863.0
Hydro,ANI0111,2007-08-22,436516.0
Hydro,ANI0111,2007-08-23,424939.0
Hydro,ANI0111,2007-08-24,409778.0
Hydro,ANI0111,2007-08-25,395946.0
Hydro,ANI0111,2007-08-26,391330.0
Hydro,ANI0111,2007-08-27,383189.0
Hydro,ANI0111,2007-08-28,382266.0
Hydro,ANI0111,2007-08-29,367778.0
Hydro,ANI0111,2007-08-30,354485.0
Hydro,ANI0111,2007-08-31,350281.0
Hydro,ARA2201,2007-08-01,958310.0
Hydro,ARA2201,2007-08-02,527900.0
Hydro,ARA2201,2007-08-03,426150.0
Hydro,ARA2201,2007-08-04,572290.0
Hydro,ARA2201,2007-08-05,664270.0
Hydro,ARA2201,2007-08-06,1242430.0
Hydro,ARA2201,2007-08-07,1404710.0
Hydro,ARA2201,2007-08-08,1544270.0
Hydro,ARA2201,2007-08-09,1114050.0
Hydro,ARA2201,2007-08-10,1038210.0
Hydro,ARA2201,2007-08-11,630520.0
Hydro,ARA2201,2007-08-12,568260.0
Hydro,ARA2201,2007-08-13,1040670.0
Hydro,ARA2201,2007-08-14,1269770.0
Hydro,ARA2201,2007-08-15,1654470.0
Hydro,ARA2201,2007-08-16,1670340.0
Hydro,ARA2201,2007-08-17,1411270.0
Hydro,ARA2201,2007-08-18,478040.0
Hydro,ARA2201,2007-08-19,584870.0
Hydro,ARA2201,2007-08-20,1468490.0
Hydro,ARA2201,2007-08-21,1466030.0
Hydro,ARA2201,2007-08-22,1318790.0
Hydro,ARA2201,2007-08-23,1202130.0
Hydro,ARA2201,2007-08-24,888270.0
Hydro,ARA2201,2007-08-25,655250.0
Hydro,ARA2201,2007-08-26,918620.0
Hydro,ARA2201,2007-08-27,1613090.0
Hydro,ARA2201,2007-08-28,1273800.0
Hydro,ARA2201,2007-08-29,1577980.0
Hydro,ARA2201,2007-08-30,1387520.0
Hydro,ARA2201,2007-08-31,1019770.0
Hydro,ARG1101,2007-08-01,133307.0
Hydro,ARG1101,2007-08-02,104566.0
Hydro,ARG1101,2007-08-03,99961.0
Hydro,ARG1101,2007-08-04,86635.0
Hydro,ARG1101,2007-08-05,142952.0
Hydro,ARG1101,2007-08-06,159705.0
Hydro,ARG1101,2007-08-07,170225.0
Hydro,ARG1101,2007-08-08,130330.0
Hydro,ARG1101,2007-08-09,127722.0
Hydro,ARG1101,2007-08-10,128206.0
Hydro,ARG1101,2007-08-11,211993.0
Hydro,ARG1101,2007-08-12,258543.0
Hydro,ARG1101,2007-08-13,228442.0
Hydro,ARG1101,2007-08-14,204755.0
Hydro,ARG1101,2007-08-15,175255.0
Hydro,ARG1101,2007-08-16,143051.0
Hydro,ARG1101,2007-08-17,180608.0
Hydro,ARG1101,2007-08-18,173536.0
Hydro,ARG1101,2007-08-19,182860.0
Hydro,ARG1101,2007-08-20,182398.0
Hydro,ARG1101,2007-08-21,138010.0
Hydro,ARG1101,2007-08-22,135529.0
Hydro,ARG1101,2007-08-23,127423.0
Hydro,ARG1101,2007-08-24,113367.0
Hydro,ARG1101,2007-08-25,108459.0
Hydro,ARG1101,2007-08-26,108828.0
Hydro,ARG1101,2007-08-27,106324.0
Hydro,ARG1101,2007-08-28,93608.0
Hydro,ARG1101,2007-08-29,97988.0
Hydro,ARG1101,2007-08-30,99883.0
Hydro,ARG1101,2007-08-31,87116.0
Hydro,ARI1101,2007-08-01,2766970.0
Hydro,ARI1101,2007-08-02,2977150.0
Hydro,ARI1101,2007-08-03,2567580.0
Hydro,ARI1101,2007-08-04,2738730.0
Hydro,ARI1101,2007-08-05,2465980.0
Hydro,ARI1101,2007-08-06,3123440.0
Hydro,ARI1101,2007-08-07,3546080.0
Hydro,ARI1101,2007-08-08,3794270.0
Hydro,ARI1101,2007-08-09,2783810.0
Hydro,ARI1101,2007-08-10,2833570.0
Hydro,ARI1101,2007-08-11,2338480.0
Hydro,ARI1101,2007-08-12,2480830.0
Hydro,ARI1101,2007-08-13,3352760.0
Hydro,ARI1101,2007-08-14,3481750.0
Hydro,ARI1101,2007-08-15,3607950.0
Hydro,ARI1101,2007-08-16,3703130.0
Hydro,ARI1101,2007-08-17,3378750.0
Hydro,ARI1101,2007-08-18,2997120.0
Hydro,ARI1101,2007-08-19,2652750.0
Hydro,ARI1101,2007-08-20,3227790.0
Hydro,ARI1101,2007-08-21,3313040.0
Hydro,ARI1101,2007-08-22,3332220.0
Hydro,ARI1101,2007-08-23,3129080.0
Hydro,ARI1101,2007-08-24,2961730.0
Hydro,ARI1101,2007-08-25,2830100.0
Hydro,ARI1101,2007-08-26,2101510.0
Hydro,ARI1101,2007-08-27,3048650.0
Hydro,ARI1101,2007-08-28,3172230.0
Hydro,ARI1101,2007-08-29,2956500.0
Hydro,ARI1101,2007-08-30,3386050.0
Hydro,ARI1101,2007-08-31,2997760.0
Hydro,ATI2201,2007-08-01,768780.0
Hydro,ATI2201,2007-08-02,720660.0
Hydro,ATI2201,2007-08-03,706370.0
Hydro,ATI2201,2007-08-04,693320.0
Hydro,ATI2201,2007-08-05,542370.0
Hydro,ATI2201,2007-08-06,928250.0
Hydro,ATI2201,2007-08-07,1185710.0
Hydro,ATI2201,2007-08-08,1000320.0
Hydro,ATI2201,2007-08-09,999750.0
Hydro,ATI2201,2007-08-10,935370.0
Hydro,ATI2201,2007-08-11,757890.0
Hydro,ATI2201,2007-08-12,647120.0
Hydro,ATI2201,2007-08-13,1003710.0
Hydro,ATI2201,2007-08-14,1121440.0
Hydro,ATI2201,2007-08-15,1173380.0
Hydro,ATI2201,2007-08-16,982000.0
Hydro,ATI2201,2007-08-17,1120060.0
Hydro,ATI2201,2007-08-18,896910.0
Hydro,ATI2201,2007-08-19,762460.0
