Fuel_Code,POC_Code,DATE,Total_TP,Island,Latitude,Longitude
Wind,BPE0331,2015-03-01,472971.48,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-02,119485.18,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-03,173416.5861,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-04,127370.3811,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-05,59379.3772,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-06,334889.0991,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-07,586853.54,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-08,544984.01,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-09,126038.9779,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-10,92748.6445,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-11,175663.2445,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-12,90434.2362,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-13,30374.9799,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-14,133495.9992,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-15,320892.67,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-16,295041.746,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-17,369157.97,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-18,97103.2262,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-19,178355.548,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-20,62961.1089,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-21,98476.3016,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-22,51481.5432,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-23,114162.95,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-24,67559.4409,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-25,185553.426,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-26,113793.0259,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-27,122499.912,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-28,40877.1029,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-29,385853.9987,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-30,439541.8,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-03-31,249582.4884,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-01,42730.3901,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-02,482642.7673,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-03,374646.3807,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-04,622503.92,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-05,149914.617,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-06,53178.3808,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-07,469993.32,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-08,289452.35,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-09,364122.4497,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-10,219131.0184,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-11,205000.5136,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-12,734951.27,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-13,440197.0185,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-14,35179.4988,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-15,148690.0776,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-16,113220.1697,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-17,659782.29,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-18,192492.2128,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-19,25304.98,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-20,303107.56,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-21,67326.1204,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-22,236039.838,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-23,332824.45,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-24,176013.8354,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-25,109627.6214,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-26,391646.04,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-27,292764.2985,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-28,523862.262,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-29,613573.515,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-04-30,130118.3364,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-01,420830.2,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-02,357156.02,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-03,155639.7789,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-04,445210.1605,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-05,614403.04,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-06,613562.22,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-07,660433.23,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-08,639686.7,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-09,676743.82,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-10,631474.07,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-11,445107.65,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-12,551175.5,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-13,754931.0,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-14,433390.8008,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-15,86877.7544,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-16,12867.7371,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-17,42141.4777,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-18,619917.08,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-19,136754.5082,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-20,259932.0986,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-21,783390.1,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-22,225667.1392,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-23,264646.4478,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-24,385748.4987,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-25,98531.9965,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-26,114274.9422,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-27,8501.7693,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-28,174.9259,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-29,87601.3923,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-30,261252.5363,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-05-31,46252.0313,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-01,72993.7785,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-02,185016.2995,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-03,174719.7743,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-04,162177.1575,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-05,99176.7322,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-06,154683.0413,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-07,491534.44,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-08,575977.66,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-09,782343.4,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-10,767577.2,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-11,592326.01,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-12,616367.62,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-13,652231.54,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-14,772845.8,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-15,314707.5566,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-16,21555.6713,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-17,327347.567,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-18,712009.2,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-19,700224.67,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-20,434568.2448,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-21,554325.469,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-22,215048.6016,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-23,365760.09,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-24,134525.3496,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-25,125460.5112,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-26,722613.6,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-27,437057.2561,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-28,705389.82,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-29,735924.55,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-06-30,578744.272,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-01,466363.85,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-02,510206.93,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-03,560150.76,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-04,317148.4021,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-05,572295.131,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-06,632349.4,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-07,268432.4413,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-08,212818.4322,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-09,106062.818,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-10,55485.1955,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-11,1212.8854,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-12,18915.7503,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-13,24369.5983,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-14,16130.8253,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-15,27756.194,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-16,288877.3992,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-17,351174.0334,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-18,125397.5848,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-19,283684.2947,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-20,281850.68,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-21,104109.8549,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-22,48579.3796,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-23,408062.0723,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-24,467890.9894,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-25,76550.1226,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-26,371956.128,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-27,114922.6273,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-28,515333.276,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-29,196769.1706,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-30,102176.457,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-07-31,472560.3,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-01,554463.47,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-02,565330.47,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-03,611795.66,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-04,697150.06,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-05,108293.4361,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-06,337058.9509,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-07,492179.37,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-08,140010.1483,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-09,178880.66,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-10,165136.072,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-11,64677.9661,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-12,13999.3025,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-13,44404.5692,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-14,259638.546,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-15,172962.8144,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-16,340032.59,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-17,57140.5937,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-18,252252.08,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-19,523663.71,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-20,257793.9391,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-21,31258.0867,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-22,77384.8345,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-23,414213.77,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-24,727828.73,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-25,431906.841,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-26,211366.0465,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-27,37330.4869,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-28,318273.126,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-29,372102.06,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-30,312357.6181,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-08-31,507599.49,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-01,556301.4807,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-02,575929.255,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-03,159839.8335,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-04,601133.48,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-05,490539.5178,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-06,442179.3,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-07,3303.5358,NI,-40.280614262851415,175.6405101202204
Wind,BPE0331,2015-09-08,276816.9338,NI,-40.280614262851415,175.6405101202204
