Fuel_Code,Trading_date,Total_TP
Wind,2015-06-05,1880446.7734
Wind,2015-06-06,2700605.1117
Wind,2015-06-07,5806768.73
Wind,2015-06-08,7806133.2298
Wind,2015-06-09,9509070.6614
Wind,2015-06-10,8149226.83
Wind,2015-06-11,6854417.22
Wind,2015-06-12,7832984.66
Wind,2015-06-13,7402047.97
Wind,2015-06-14,7439521.326
Wind,2015-06-15,5029121.9213
Wind,2015-06-16,1837649.0528
Wind,2015-06-17,4817934.0117
Wind,2015-06-18,8964089.965
Wind,2015-06-19,8694690.592799999
Wind,2015-06-20,6447150.6156
Wind,2015-06-21,7429195.1122
Wind,2015-06-22,5242404.5448
Wind,2015-06-23,5551613.6106
Wind,2015-06-24,3115299.2766
Wind,2015-06-25,3157800.0113
Wind,2015-06-26,9493402.52
Wind,2015-06-27,6678212.7497000005
Wind,2015-06-28,9443331.9
Wind,2015-06-29,9650888.4
Wind,2015-06-30,7220103.902000001
Wind,2015-07-01,5050036.847
Wind,2015-07-02,6806964.3682
Wind,2015-07-03,8156588.278
Wind,2015-07-04,5145037.2523
Wind,2015-07-05,7725180.247
Wind,2015-07-06,7892999.086
Wind,2015-07-07,3903915.7859
Wind,2015-07-08,5298915.4331
Wind,2015-07-09,4561135.9034
Wind,2015-07-10,3694040.3928
Wind,2015-07-11,640854.0471
Wind,2015-07-12,1077981.9967999998
Wind,2015-07-13,1588947.4660999998
Wind,2015-07-14,3573895.2769
Wind,2015-07-15,4702946.6312
Wind,2015-07-16,3843673.8494
Wind,2015-07-17,4888840.8198
Wind,2015-07-18,4647106.5221
Wind,2015-07-19,4837330.4854
Wind,2015-07-20,5149775.743
Wind,2015-07-21,3746635.959
Wind,2015-07-22,2701716.1752
Wind,2015-07-23,6030263.7034
Wind,2015-07-24,5508284.9597
Wind,2015-07-25,3224715.6659
Wind,2015-07-26,7388107.653
Wind,2015-07-27,4178404.222
Wind,2015-07-28,7082485.089000001
Wind,2015-07-29,4853774.7212
Wind,2015-07-30,2884855.7605
Wind,2015-07-31,7229234.0654
Wind,2015-08-01,7773108.3114
Wind,2015-08-02,7844086.4638
Wind,2015-08-03,8959087.140999999
Wind,2015-08-04,9279889.684
Wind,2015-08-05,2958992.4223
Wind,2015-08-06,5720221.0543
Wind,2015-08-07,8841182.6106
Wind,2015-08-08,5009266.1825
Wind,2015-08-09,4520850.7788
Wind,2015-08-10,4534094.1356
Wind,2015-08-11,3260427.8959
Wind,2015-08-12,1066686.3665
Wind,2015-08-13,1851165.0992
Wind,2015-08-14,4661899.4164
Wind,2015-08-15,2431755.1658
Wind,2015-08-16,4735370.6678
Wind,2015-08-17,3044889.0813
Wind,2015-08-18,6338659.32
Wind,2015-08-19,7780040.720000001
Wind,2015-08-20,4080273.129
Wind,2015-08-21,637672.699
Wind,2015-08-22,2948066.325
Wind,2015-08-23,7368654.362
Wind,2015-08-24,9271149.66
Wind,2015-08-25,7081066.7106
Wind,2015-08-26,3925909.8392
Wind,2015-08-27,2044702.5505
Wind,2015-08-28,5025636.8312
Wind,2015-08-29,5899574.5306
Wind,2015-08-30,3711741.6661
Wind,2015-08-31,7065743.111
Wind,2015-09-01,7138920.6577
Wind,2015-09-02,8074122.1196
Wind,2015-09-03,4482685.262399999
Wind,2015-09-04,7358474.9354
Wind,2015-09-05,7232566.351
Wind,2015-09-06,5533514.514
Wind,2015-09-07,1483841.6446999998
Wind,2015-09-08,3463563.0569
Wind,2015-09-09,7798876.079
Wind,2015-09-10,6170669.2714
Wind,2015-09-11,3718950.425
Wind,2015-09-12,4711273.2573
Wind,2015-09-13,5903257.3573
Wind,2015-09-14,3340979.3855
Wind,2015-09-15,9050245.14
Wind,2015-09-16,9461575.74
Wind,2015-09-17,8878029.7788
Wind,2015-09-18,8367901.0796
Wind,2015-09-19,6189407.1894000005
Wind,2015-09-20,9355180.0932
Wind,2015-09-21,8428015.7434
Wind,2015-09-22,3934895.2931
Wind,2015-09-23,4647239.748
Wind,2015-09-24,8507984.724
Wind,2015-09-25,3545350.7838
Wind,2015-09-26,6206203.3908
Wind,2015-09-27,2284360.5282
Wind,2015-09-28,1564696.1104
Wind,2015-09-29,966859.5467
Wind,2015-09-30,2197288.8913000003
Wind,2015-10-01,8316990.623000001
Wind,2015-10-02,9445691.375
Wind,2015-10-03,5170065.1233
Wind,2015-10-04,10056788.646
Wind,2015-10-05,5927980.9877
Wind,2015-10-06,9396578.61
Wind,2015-10-07,8810269.417
Wind,2015-10-08,5834910.2291
Wind,2015-10-09,4188129.2656
Wind,2015-10-10,7063200.7072
Wind,2015-10-11,8749485.828
Wind,2015-10-12,9327129.797
Wind,2015-10-13,7548456.0261
Wind,2015-10-14,3885761.0677
Wind,2015-10-15,4774390.0214
Wind,2015-10-16,8487073.730999999
Wind,2015-10-17,7129340.295
Wind,2015-10-18,8231508.271
Wind,2015-10-19,8006081.185
Wind,2015-10-20,8198032.31
Wind,2015-10-21,9442256.709
Wind,2015-10-22,6777658.446
Wind,2015-10-23,7465843.689
Wind,2015-10-24,4257462.072
Wind,2015-10-25,4502994.5221
Wind,2015-10-26,6001099.5426
Wind,2015-10-27,6472012.282
Wind,2015-10-28,3225434.5175
Wind,2015-10-29,5205260.6844
Wind,2015-10-30,4182752.8192
Wind,2015-10-31,4439853.9256
Wind,2015-11-01,1775088.037
Wind,2015-11-02,9448305.786
Wind,2015-11-03,8841554.93
Wind,2015-11-04,8168137.4968
Wind,2015-11-05,3567710.1121
Wind,2015-11-06,3175242.5385
Wind,2015-11-07,5537511.6463
Wind,2015-11-08,7890869.6284
Wind,2015-11-09,2171643.8367
Wind,2015-11-10,5340861.132
Wind,2015-11-11,7390234.096
Wind,2015-11-12,5934867.09
Wind,2015-11-13,2811095.5362
Wind,2015-11-14,5663141.1165
Wind,2015-11-15,6741580.0493
Wind,2015-11-16,3953723.5574
Wind,2015-11-17,8546656.082
Wind,2015-11-18,4427554.7962
Wind,2015-11-19,2972687.2863
Wind,2015-11-20,9379538.322
Wind,2015-11-21,7136996.8307
Wind,2015-11-22,8220188.45
Wind,2015-11-23,9026943.71
Wind,2015-11-24,9745008.982
Wind,2015-11-25,7898855.5054
Wind,2015-11-26,8022999.95
Wind,2015-11-27,8605570.48
Wind,2015-11-28,8641521.87
Wind,2015-11-29,3464870.845
Wind,2015-11-30,1870386.656
Wind,2015-12-01,1928536.7587
Wind,2015-12-02,3541566.482
Wind,2015-12-03,5611996.8243
Wind,2015-12-04,6768200.3156
Wind,2015-12-05,9586817.08
Wind,2015-12-06,4209915.9332
Wind,2015-12-07,6622872.0335
Wind,2015-12-08,4731497.062
Wind,2015-12-09,2458149.2013
Wind,2015-12-10,9698121.53
Wind,2015-12-11,4829438.8142
Wind,2015-12-12,6538687.4572
Wind,2015-12-13,8635148.38
Wind,2015-12-14,7391859.34
Wind,2015-12-15,8153171.359999999
Wind,2015-12-16,6130806.657
Wind,2015-12-17,3511017.8433
Wind,2015-12-18,2059308.9073
Wind,2015-12-19,2645654.9316
Wind,2015-12-20,4805698.6113
Wind,2015-12-21,9647469.3867
Wind,2015-12-22,8070962.096
Wind,2015-12-23,4829602.1688
Wind,2015-12-24,2165335.3045
Wind,2015-12-25,893621.4493
Wind,2015-12-26,1059434.6021
Wind,2015-12-27,3716669.4665
Wind,2015-12-28,2011296.7075
Wind,2015-12-29,2510277.538
Wind,2015-12-30,1618736.3513
Wind,2015-12-31,6325815.0499
Wind,2016-01-01,3823116.9898
Wind,2016-01-02,2182354.4631000003
Wind,2016-01-03,4858142.6298
Wind,2016-01-04,6402078.0043
Wind,2016-01-05,1700215.2114
Wind,2016-01-06,2720461.5098
Wind,2016-01-07,6609161.555
Wind,2016-01-08,7756656.99
Wind,2016-01-09,8625027.77
Wind,2016-01-10,7946158.98
Wind,2016-01-11,2961841.1992
Wind,2016-01-12,7821115.8763
Wind,2016-01-13,6913763.6224
Wind,2016-01-14,5150083.865499999
Wind,2016-01-15,8719023.5846
Wind,2016-01-16,4815522.9866
Wind,2016-01-17,1296509.6991
Wind,2016-01-18,3954995.0546
Wind,2016-01-19,3144724.4932
Wind,2016-01-20,6247106.8584
Wind,2016-01-21,7871054.2972
Wind,2016-01-22,7601162.5944
Wind,2016-01-23,7651688.995
Wind,2016-01-24,4467251.693299999
Wind,2016-01-25,3602212.7689
Wind,2016-01-26,2685422.1008
Wind,2016-01-27,5451741.109
Wind,2016-01-28,6190454.639599999
Wind,2016-01-29,990691.1768
Wind,2016-01-30,1784555.1468
Wind,2016-01-31,4192974.8442
Wind,2016-02-01,2950019.7774
Wind,2016-02-02,4076864.8609
Wind,2016-02-03,1935531.9868
