Fuel_Code,Trading_date,Total_TP
Wind,2015-02-17,1576509.6579
Wind,2015-02-17,0.0
Hydro,2015-02-17,0.0
Hydro,2015-02-18,63930904.7848
Wind,2015-02-18,0.0
Hydro,2015-02-18,0.0
Wind,2015-02-18,4266892.3658
Wind,2015-02-19,7069615.668
Hydro,2015-02-19,0.0
Hydro,2015-02-19,62321580.1686
Wind,2015-02-19,0.0
Hydro,2015-02-20,0.0
Wind,2015-02-20,0.0
Wind,2015-02-20,856863.5897
Hydro,2015-02-20,64604830.2894
Hydro,2015-02-21,0.0
Wind,2015-02-21,0.0
Wind,2015-02-21,5389907.443
Hydro,2015-02-21,53369194.7976
Wind,2015-02-22,0.0
Wind,2015-02-22,2190433.792
Hydro,2015-02-22,0.0
Hydro,2015-02-22,55384692.234
Wind,2015-02-23,0.0
Wind,2015-02-23,2799617.5512
Hydro,2015-02-23,64733093.2
Hydro,2015-02-23,0.0
Wind,2015-02-24,1549688.9685999998
Hydro,2015-02-24,0.0
Wind,2015-02-24,0.0
Hydro,2015-02-24,62335418.385
Wind,2015-02-25,4609966.3252
Hydro,2015-02-25,61813057.02
Hydro,2015-02-25,0.0
Wind,2015-02-25,0.0
Hydro,2015-02-26,63278826.912
Hydro,2015-02-26,0.0
Wind,2015-02-26,0.0
Wind,2015-02-26,4875604.7972
Wind,2015-02-27,2245519.6037
Wind,2015-02-27,0.0
Hydro,2015-02-27,0.0
Hydro,2015-02-27,63928249.38
Wind,2015-02-28,0.0
Wind,2015-02-28,5336729.609
Hydro,2015-02-28,0.0
Hydro,2015-02-28,53153257.0076
Hydro,2015-03-01,49886465.26
Wind,2015-03-01,5959171.3208
Hydro,2015-03-01,0.0
Wind,2015-03-01,0.0
Wind,2015-03-02,0.0
Hydro,2015-03-02,0.0
Hydro,2015-03-02,59477477.42
Wind,2015-03-02,3843071.7444
Wind,2015-03-03,2726866.6329
Hydro,2015-03-03,61151430.543
Hydro,2015-03-03,0.0
Wind,2015-03-03,0.0
Wind,2015-03-04,3222857.7312000003
Hydro,2015-03-04,0.0
Wind,2015-03-04,0.0
Hydro,2015-03-04,59692537.9
Wind,2015-03-05,3107272.2857
Hydro,2015-03-05,61003727.701
Wind,2015-03-05,0.0
Hydro,2015-03-05,0.0
Wind,2015-03-06,5997559.4501
Hydro,2015-03-06,56997379.264
Hydro,2015-03-06,0.0
Wind,2015-03-06,0.0
Wind,2015-03-07,0.0
Hydro,2015-03-07,49281939.29
Wind,2015-03-07,8015490.6716
Hydro,2015-03-07,0.0
Wind,2015-03-08,5774811.9322
Wind,2015-03-08,0.0
Hydro,2015-03-08,49833115.62
Hydro,2015-03-08,0.0
Wind,2015-03-09,0.0
Wind,2015-03-09,1847817.1925
Hydro,2015-03-09,0.0
Hydro,2015-03-09,59178009.855
Hydro,2015-03-10,59517838.497
Hydro,2015-03-10,0.0
Wind,2015-03-10,0.0
Wind,2015-03-10,2433253.1875
Wind,2015-03-11,3028268.7401
Hydro,2015-03-11,59342045.93
Hydro,2015-03-11,0.0
Wind,2015-03-11,0.0
Hydro,2015-03-12,60983446.727
Hydro,2015-03-12,0.0
Wind,2015-03-12,2290865.762
Wind,2015-03-12,0.0
Hydro,2015-03-13,57321172.64
Hydro,2015-03-13,0.0
Wind,2015-03-13,2377205.1783
Wind,2015-03-13,0.0
Hydro,2015-03-14,50758939.555
Hydro,2015-03-14,0.0
Wind,2015-03-14,2783233.3308
Wind,2015-03-14,0.0
Wind,2015-03-15,5238773.325999999
Hydro,2015-03-15,0.0
Wind,2015-03-15,0.0
Hydro,2015-03-15,48488963.396
Hydro,2015-03-16,0.0
Wind,2015-03-16,0.0
Hydro,2015-03-16,55779148.63
Wind,2015-03-16,4358216.717
Wind,2015-03-17,6174720.5028
Hydro,2015-03-17,52040511.45
Wind,2015-03-17,0.0
Hydro,2015-03-17,0.0
Wind,2015-03-18,3510462.7817
Hydro,2015-03-18,53544551.56
Hydro,2015-03-18,0.0
Wind,2015-03-18,0.0
Wind,2015-03-19,4048790.7952
Hydro,2015-03-19,52830452.202
Hydro,2015-03-19,0.0
Wind,2015-03-19,0.0
Hydro,2015-03-20,56509249.742
Wind,2015-03-20,2148697.3746
