DATE,Avg_PS
2015-08-23,101.0131
2015-08-24,100.4962
2015-08-25,100.1077
2015-08-26,100.9838
2015-08-27,101.68
2015-08-28,101.3962
2015-08-29,100.7469
2015-08-30,100.1585
2015-08-31,100.3362
2015-09-01,99.5862
2015-09-02,98.5385
2015-09-03,98.7215
2015-09-04,99.0338
2015-09-05,98.6854
2015-09-06,98.9031
2015-09-07,99.7569
2015-09-08,100.2685
2015-09-09,100.2531
2015-09-10,99.1808
2015-09-11,99.4162
2015-09-12,100.1192
2015-09-13,100.4154
2015-09-14,100.8354
2015-09-15,100.0785
2015-09-16,99.8915
2015-09-17,99.7854
2015-09-18,99.5446
2015-09-19,100.0623
2015-09-20,100.1208
2015-09-21,99.8023
2015-09-22,99.2062
2015-09-23,99.2331
2015-09-24,99.8031
2015-09-25,99.9515
2015-09-26,100.7923
2015-09-27,100.9262
2015-09-28,100.8569
2015-09-29,101.4262
2015-09-30,101.3423
2015-10-01,100.69
2015-10-02,99.6108
2015-10-03,99.6269
2015-10-04,99.0892
2015-10-05,99.8362
2015-10-06,100.5723
2015-10-07,100.4423
2015-10-08,100.5315
2015-10-09,100.9262
2015-10-10,100.5008
2015-10-11,100.2223
2015-10-12,99.9069
2015-10-13,99.81
2015-10-14,100.3623
2015-10-15,100.6438
2015-10-16,100.3746
2015-10-17,100.3908
2015-10-18,99.8962
2015-10-19,99.7308
2015-10-20,100.1492
2015-10-21,99.6938
2015-10-22,99.48
2015-10-23,99.5046
2015-10-24,99.8238
2015-10-25,100.0446
2015-10-26,99.9738
2015-10-27,100.1877
2015-10-28,100.0031
2015-10-29,99.2062
2015-10-30,99.7238
2015-10-31,100.0762
2015-11-01,100.5654
2015-11-02,100.2177
2015-11-03,99.6085
2015-11-04,99.7731
2015-11-05,100.4746
2015-11-06,100.4054
2015-11-07,99.8915
2015-11-08,99.5385
2015-11-09,99.6854
2015-11-10,99.3969
2015-11-11,99.6323
2015-11-12,100.7423
2015-11-13,101.0285
2015-11-14,100.0469
2015-11-15,99.5185
2015-11-16,99.3738
2015-11-17,99.0315
2015-11-18,99.9369
2015-11-19,100.3792
2015-11-20,99.2585
2015-11-21,98.5777
2015-11-22,98.7685
2015-11-23,99.7685
2015-11-24,99.9631
2015-11-25,100.1715
2015-11-26,100.0177
2015-11-27,99.51
2015-11-28,99.6385
2015-11-29,100.6492
2015-11-30,101.1785
